,precision,recall,f1-score,support
0,0.0,0.0,0.0,7256.0
1,0.0,0.0,0.0,13058.0
2,0.0,0.0,0.0,44240.0
3,1.0,0.19075203252032522,0.3203891781172655,39360.0
4,0.0,0.0,0.0,839.0
5,0.7780957336108221,0.21945850759410082,0.3423567790305042,13629.0
6,0.3079139454475605,0.18421052631578946,0.23051481161921197,8702.0
7,0.0,0.0,0.0,5056.0
8,0.11977715877437325,1.0,0.21393034825870647,688.0
9,0.0,0.0,0.0,0.0
accuracy,0.0962899388683109,0.0962899388683109,0.0962899388683109,0.0962899388683109
macro avg,0.22057868378327558,0.15944210664302155,0.1107191117025688,132828.0
weighted avg,0.39695350823548753,0.0962899388683109,0.1462765573705445,132828.0
